"","b"
"0.pickup_hour","0"
"1.pickup_hour","641.3612"
"2.pickup_hour","592.6678"
"3.pickup_hour","556.639"
"4.pickup_hour","503.0806"
"5.pickup_hour","330.1982"
"6.pickup_hour","302.4371"
"7.pickup_hour","331.529"
"8.pickup_hour","412.0096"
"9.pickup_hour","505.4361"
"10.pickup_hour","568.1091"
"11.pickup_hour","648.9085"
"12.pickup_hour","700.418"
"13.pickup_hour","728.7857"
"14.pickup_hour","753.1406"
"15.pickup_hour","722.5292"
"16.pickup_hour","730.2838"
"17.pickup_hour","742.4904"
"18.pickup_hour","780.5445"
"19.pickup_hour","779.3654"
"20.pickup_hour","763.0686"
"21.pickup_hour","699.3093"
"22.pickup_hour","726.3316"
"23.pickup_hour","759.8938"
"straight_line_distance","170.0936"
